Feature,Importance
CourseRating,0.3430851844833309
CourseDuration,0.32417626022700846
CourseCategory,0.1736991296680569
CourseLevel,0.057065850958763334
CoursePrice,0.04002264857759876
TeacherRating,0.025611463561104365
YearsOfExperience,0.019917243527286965
CourseType,0.01642221899685025
